droplet,grid_divisions,voltage_V,rise_time_s,descent_time_s
1,30,300,5.903,3.668
2,30,300,4.268,2.668
3,30,300,3.602,2.633
4,30,300,4.603,2.935
5,30,300,3.970,2.635
6,60,400,7.372,4.535
7,60,400,4.769,3.668
8,60,400,4.570,5.837
9,60,400,5.603,4.770
10,60,400,7.603,5.804
11,90,500,6.403,5.103
12,90,500,11.340,7.737
13,90,500,12.874,8.339
14,90,500,6.570,5.136
15,90,500,7.084,5.202
16,120,600,11.030,8.220
17,120,600,15.856,10.278
18,120,600,15.016,7.926
19,120,600,7.926,7.215
20,120,600,8.136,5.830
